Epoch,Train Loss,Val Loss
1,0.009438925397897509,0.015317235141992569
2,0.008025276239082765,0.01488988846540451
3,0.007656944475175252,0.014070689678192139
4,0.007438608564710916,0.015276621095836163
5,0.007303293883847197,0.014201350510120392
6,0.007191836982972544,0.01835763454437256
7,0.007109769958892375,0.015602351166307926
8,0.00704271657996522,0.014975998550653458
9,0.006978462866843143,0.01428518071770668
10,0.0069300075764444176,0.014304921962320805
11,0.00688197054598513,0.015433328226208687
12,0.006834616458013037,0.015292007476091385
13,0.006795788523583665,0.015440130606293678
14,0.006757124621128226,0.017117798328399658
15,0.006725925570930416,0.016312871128320694
16,0.006698653169515363,0.016131654381752014
17,0.00666828977928822,0.01488672848790884
18,0.0066440342471323285,0.015329313464462757
19,0.00661868527262803,0.014827672392129898
20,0.006590051853875787,0.016195600852370262
21,0.00656552671069655,0.020534401759505272
22,0.006553384492847965,0.01611168682575226
23,0.006534547970389351,0.0164488535374403
