Epoch,Train Loss,Val Loss
1,138.2725246550545,42.3260383605957
2,27.208458832836655,16.92910385131836
3,22.172469465063994,26.660982131958008
4,18.835382580630995,22.364736557006836
5,17.59255654975851,14.772623062133789
6,15.852546939143428,11.144161224365234
7,15.108495214754942,12.98289680480957
8,14.324654726502757,11.468236923217773
9,14.363164071178941,11.156328201293945
10,12.897536020934897,11.054826736450195
11,12.372812142952409,10.760200500488281
12,12.287026788822558,13.261222839355469
13,11.868878701124242,17.198551177978516
14,11.618072230727584,9.705431938171387
15,10.489418740247293,10.776453018188477
16,10.5353359469661,11.482242584228516
17,10.310416537491733,8.52553939819336
18,10.265525297134642,15.694437026977539
19,9.95984726507197,9.289529800415039
20,10.085330998456037,9.492986679077148
21,9.76310950031987,8.094477653503418
22,8.941050209065594,17.88250160217285
23,9.859461392801276,9.395757675170898
24,8.794865031469437,8.267252922058105
25,9.301269496433319,8.290726661682129
26,8.434009921866119,8.070178031921387
27,8.961865294925751,7.917896747589111
28,8.865897757918747,8.31619930267334
29,8.333771075395049,9.0510835647583
30,8.317466237809922,8.991589546203613
31,8.190943060476313,31.466421127319336
32,8.179623118910209,8.832683563232422
33,7.88116685120517,10.178031921386719
34,7.961833706103936,10.588252067565918
35,7.773142589589275,8.348602294921875
36,7.348599153347116,7.521061897277832
37,8.174990498073518,9.12393569946289
38,7.204361937285731,7.857438564300537
39,7.573946932131651,8.245997428894043
40,7.435791668059334,11.583123207092285
41,7.0297433318284455,7.705870151519775
42,7.552334708763809,7.765638828277588
43,7.410160627819243,6.464258670806885
44,7.095988662406881,7.62421989440918
45,7.544485670422751,7.137814044952393
46,7.185523626034852,6.272556304931641
47,6.634935455221347,6.666327953338623
48,7.7716810281945286,7.182038307189941
49,6.644488928557704,8.63604736328125
50,6.866530688351424,7.015903472900391
51,6.913859109525327,8.534242630004883
52,7.293462705864477,7.463138103485107
53,6.961186073949097,6.955606937408447
54,6.656809164481189,9.906838417053223
55,6.996716231391543,6.966519832611084
56,6.989410766218074,6.391998767852783
57,6.687407422948767,7.446071147918701
58,6.682359588966168,7.120406627655029
59,6.58044986068887,7.146623611450195
60,6.820771416154488,6.824397087097168
61,6.1402471840066255,6.141049385070801
62,6.497592712079406,6.771056175231934
63,6.928268510576278,6.130162239074707
64,6.388349606246544,10.418230056762695
65,6.786504745987988,9.845246315002441
66,6.102581838829807,6.369912624359131
67,6.475681998742321,5.901244163513184
68,6.416988178535744,6.598160266876221
69,6.132257380308928,7.687056064605713
70,6.3352674602831485,7.896515846252441
71,6.134612835021246,6.455814838409424
72,6.238393676596344,19.250944137573242
73,6.650845561961018,6.870543479919434
74,6.341380553018479,6.140173435211182
75,6.065019880022321,6.867851257324219
76,6.856952505263071,6.071367263793945
77,5.918976430035142,6.251377582550049
78,5.9835735545587285,7.113235950469971
79,6.109696006270313,6.344920635223389
80,6.113615703835058,6.440516948699951
81,6.055650060643595,6.506537914276123
82,6.071347045898437,6.944311618804932
83,6.379007398766816,6.117047309875488
84,5.969931898167524,7.020748138427734
85,5.967575560423432,6.25385856628418
86,5.824200560050036,6.031830310821533
87,5.699574625681317,7.556450366973877
