Epoch,Train Loss,Val Loss
1,0.029127031147297422,0.01997462473809719
2,0.019577702296893967,0.018552429974079132
3,0.018227466305754596,0.018314126878976822
4,0.01780722977009008,0.017444906756281853
5,0.017379125094179437,0.01754966378211975
6,0.017130299603694592,0.017667070031166077
7,0.016930301993872292,0.01804313063621521
8,0.016776927956300702,0.01758711040019989
9,0.016648602862623655,0.01720386929810047
10,0.016524363166878952,0.017603594809770584
11,0.01638542000036953,0.018216026946902275
12,0.016248573895247108,0.017248373478651047
13,0.016126366903646574,0.01760808378458023
14,0.016042708181899734,0.017820756882429123
15,0.015967311990593792,0.01768048293888569
16,0.015916157512715717,0.017521757632493973
17,0.01583353623144273,0.01776582933962345
18,0.015775667748320784,0.017460133880376816
19,0.015714924480357773,0.017412468791007996
20,0.01573809496614603,0.01756981573998928
21,0.015629860289506435,0.017435980960726738
22,0.01560234430609328,0.017662912607192993
23,0.015555728544779705,0.017637312412261963
24,0.015522537309323913,0.01807868853211403
25,0.015478418506124013,0.01749524660408497
26,0.015459742393646418,0.01729072444140911
27,0.015422683823638176,0.01715930365025997
28,0.015395570234468471,0.017752569168806076
29,0.015374902793294398,0.018106749281287193
30,0.015348269511711605,0.017472121864557266
31,0.015314685958808503,0.018100598827004433
32,0.015332718544631405,0.018502693623304367
33,0.0152687267930969,0.0178243275731802
34,0.015244839376839065,0.017659207805991173
35,0.015227762088204947,0.018336238339543343
36,0.015198935060004259,0.017069796100258827
37,0.01518616177118843,0.017178991809487343
38,0.015166473732798419,0.018112191930413246
39,0.015146118948468146,0.018644729629158974
40,0.01512597521933124,0.018069034442305565
41,0.015104482739205219,0.01806258223950863
42,0.015084813002032882,0.01754353567957878
43,0.015065362592531436,0.01885886862874031
44,0.015057516435935961,0.018522959202528
45,0.015041812490278804,0.01929553970694542
46,0.015025405482046048,0.01797286607325077
47,0.014994799882462636,0.017782172188162804
48,0.015604501646684091,0.01804366149008274
49,0.015044833855402964,0.01821354404091835
50,0.014979242458001255,0.017328225076198578
51,0.014957273322163268,0.018664514645934105
52,0.014948809243373476,0.018838124349713326
53,0.014938372516607736,0.018168259412050247
54,0.014921884149708579,0.018897052854299545
55,0.014907222819990695,0.01845988631248474
56,0.014888226604653387,0.017724821344017982
